NDVI,climate_zone,season,soil_temperature_yearly,moisture_yearly,air_temperature_yearly,prev_month_air_temperature,prev_month_soil_temperature,prev_month_moisture
0.1813774,Csa,Summer,290.1462541319443,0.1220311671909721,289.2098453,292.9983833,295.1507163,0.059930643
0.23376533,Csa,Summer,291.06592034722235,0.1425545792951389,289.8450350694445,294.2708146,296.1871967,0.0766117
0.45186493,Csa,Spring,290.2583497,0.16028172535763888,289.08677232638877,289.8835238,291.4785675,0.130598205
0.14048596,Csa,Summer,290.5494594,0.24576926482986117,289.65748545138894,299.7165421,301.3881417,0.125180178
0.16763246,Csb,Summer,289.0909801,0.2417967892499999,288.35420802083314,291.1470321,292.2117425,0.237647562
0.3367221,Csb,Summer,288.71967020833324,0.21857192305555548,287.8890870833333,292.5560708,294.0074358,0.152139936
0.18733644,Csa,Summer,290.5070477430555,0.26994226430555557,289.93416503472224,295.8312696,297.2890425,0.173052149
0.56162614,Csa,Summer,288.6425114930555,0.2668095064444445,287.9146259,294.8555496,297.094645,0.143573873
0.04972816,Csb,Summer,291.83036947916656,0.26330250486111106,290.9074021180556,298.03589,300.2226246,0.160117917
0.82185745,Csb,Summer,286.52353437500005,0.3230638370486111,285.5550042013889,289.1786096,290.3137417,0.313444945
0.42152768,Csb,Summer,285.7619187847222,0.347452008,284.8911302430555,289.410815,290.5369471,0.344940637
0.1742923,Csa,Summer,288.45516697916673,0.26672954559722206,287.8618238,295.6327708,297.4641125,0.136909443
0.36928326,Csb,Summer,292.4460130208334,0.3281559932638889,291.3087766,301.2040283,303.5214417,0.191432359
0.18620224,Csa,Summer,289.9478074999999,0.2500562752812499,289.43452295138894,294.6631146,295.6244913,0.183783419
0.15375744,Csa,Summer,286.0086552430555,0.3392372843055555,285.1435126388889,291.0706171,291.9439692,0.318229133
0.22464254,Csa,Summer,291.91361989583334,0.27834454170138884,290.99275850694437,297.0681663,299.1331788,0.166052008
0.22056136,Csa,Summer,291.77214840277765,0.2712483166319446,290.81753440972227,295.0726838,296.7956446,0.166685944
0.196328,Csa,Summer,290.27635996527783,0.25658913159722224,289.7122412152777,297.5450138,299.2416392,0.136195853
0.2707629,Csa,Summer,292.00458215277786,0.32490907326388874,291.17354968749993,295.9541642,297.5114238,0.231872385
0.1889482,Csa,Summer,290.0689787847223,0.25992254708333323,289.4920085069444,295.0390529,295.7767654,0.215252046
0.29934883,Csa,Summer,292.1269353472221,0.29611348642361107,291.3223173,298.4724329,300.2732938,0.191420305
0.37207246,Csa,Summer,291.9830528124999,0.3014628433680557,291.1109202430555,295.93398,297.5270604,0.203639498
0.14444989,Csa,Summer,292.10203611111115,0.2577948661111112,291.2159362499999,298.7461225,300.7314663,0.148206408
0.296251,Csa,Summer,291.3832046180555,0.2733066664930555,290.50127170138893,295.1683958,296.8114129,0.166202644
0.16550104,Csa,Summer,286.96184652777777,0.2900947147569445,286.26944374999994,291.7596938,292.5330521,0.295089922
0.21895581,Csa,Summer,288.16294104166667,0.2670046501388889,287.5176326041667,293.1689758,293.7333375,0.236782903
0.21814747,Csa,Summer,292.44263951388876,0.24569856406249993,291.0380478472222,296.9620163,299.5021675,0.13617402
0.18174481,Csa,Summer,284.73854722222234,0.4004996148958334,283.84755371527785,289.0389213,289.8733929,0.413480633
0.6151728,Csb,Spring,291.4439011111111,0.3291793807291667,290.8130213194445,291.5531108,292.4178375,0.303275108
0.35295993,Csa,Spring,285.8787858333334,0.2883847745833332,285.39225138888884,286.4160233,286.9856775,0.308905748
0.14221822,Csa,Summer,289.8118425694444,0.27135276079861115,289.39811201388875,297.2815033,298.6715288,0.150675838
0.015810076,Csa,Summer,292.2667876736112,0.2632012980208333,291.16421708333337,297.6121013,299.7917779,0.154736274
0.5398649,Csb,Summer,289.5875989930557,0.26090724842361107,288.8325678,298.0649925,300.132335,0.108911343
0.9017229,Cfb,Summer,289.48763763888894,0.31256639291666666,289.0193281597223,295.1498929,295.9778525,0.23832
0.61817485,Csb,Summer,290.88027312500003,0.2677572255902778,290.43558711805565,298.4372042,299.8567279,0.150164461
0.23332442,Csb,Summer,291.71816944444436,0.26111576951388876,290.87664871527767,299.1312663,301.0158683,0.149616466
0.32214713,Cfb,Summer,289.6729848263888,0.27151312194444444,289.21995704861115,297.5191963,298.84779,0.148105227
0.50432646,Csb,Summer,291.87324170138885,0.25756027829861117,290.9704744444444,297.3133529,299.0638942,0.152921013
0.52019626,Csa,Spring,292.24632350694435,0.23939997685416667,291.05136423611117,292.1013683,293.5082604,0.189228225
0.16090825,Csb,Summer,285.89547670138893,0.2757311345833333,285.3069512847222,294.1059371,295.6179517,0.158069377
0.40103206,Csb,Summer,286.3811692361111,0.27283173888888884,285.78886559027774,294.5121988,295.9080096,0.177065603
0.6098255,Csb,Summer,286.6441382291667,0.26479452694444444,285.8559723,291.5854296,292.6127813,0.28503888
0.38853163,Csb,Spring,285.5361996180556,0.2901832881249998,284.7410889583333,286.3883592,287.4120679,0.255904504
0.68745166,Csb,Summer,285.8054200694446,0.27689458468750006,285.18720263888883,290.9383654,291.67861,0.273499763
0.6128322,Csb,Summer,286.4665567708334,0.2709869701736112,285.8462964930555,291.6438804,292.4089363,0.27551338
0.3884463,Csb,Spring,285.4430181597221,0.29133787909722225,284.64622013888885,286.2651158,287.2820121,0.258667115
0.47671726,Csb,Summer,286.5167291666667,0.2696497882291666,285.8794676736111,291.710645,292.5385517,0.270067002
0.2218148,Csb,Summer,286.57512413194434,0.2652781957291668,285.9073078125001,296.3245138,298.0478317,0.128039636
